行号,Item ID,产品名称,原价(SGD),新价(SGD),规则
7,57660520079,Gaulois XO 1L 高路易 XO 1L,199.00,200.00,自提柜封顶200
10,57360520155,Blue Dash Cucumber Flavor 730ml 15% 布鲁大师 青瓜味,68.00,73.00,GST常规加价
11,57360520101,Jiannanchun Oriental Red 剑南春 东方红,199.00,200.00,自提柜封顶200
12,57360520100,Fenjiu Silk Road 汾酒 丝绸之路,435.00,445.00,GST常规加价
13,57360520099,Luzhou Jiancang A8 泸州鉴藏 A8,129.00,139.00,GST常规加价
14,57360520098,Happy Brew Lager 嗨啤精酿 拉格,6.00,11.00,GST常规加价
16,55360509757,Martell XO 马爹利 XO,240.00,250.00,GST常规加价
17,54660509727,Wuliangye 五粮液,199.00,200.00,自提柜封顶200
18,54260509850,Fenjiu Qinghua 50 汾酒 青花50度,205.00,215.00,GST常规加价
19,54260509846,Blue Dash White Grape Flavor 730ml 15% 布鲁大师 白葡萄味,68.00,73.00,GST常规加价
20,54260509841,Premium Tequila 顶级龙舌兰,78.00,83.00,GST常规加价
22,53110513829,Fenjiu 10 Year 汾酒 10年,90.00,95.00,GST常规加价
23,51710520126,Perrier-Jouët 白雪香槟,99.00,104.00,GST常规加价
24,51560513815,Hibiki Japanese Harmony 响 和风,130.00,140.00,GST常规加价
25,51510520133,Macallan 15 Double Cask 麦卡伦15年 双桶,235.00,245.00,GST常规加价
27,50610520212,Yanghe Sky Blue 42% 洋河 天之蓝 42%,77.00,96.92,Yanghe官方价-5
28,50560518802,Yanghe Dream Blue Crystal 40.8% 洋河 梦之蓝水晶版 40.8%,125.00,132.89,Yanghe官方价-5
29,50560518800,Jiannanchun Bronze Age 剑南春 青铜纪,399.00,409.00,GST常规加价
30,50260518797,Blue Dash Lime Flavor 730ml 15% 布鲁大师 青柠味,68.00,73.00,GST常规加价
31,50260518792,Sella & Mosca Monteoro 2020 赛拉摩斯卡 2020,60.00,65.00,GST常规加价
32,49510540171,Yanghe Dream Blue M6+ 52% 洋河 梦之蓝 M6+ 52%,179.00,198.83,Yanghe官方价-5
34,49510540168,Yanghe Dream Blue M9 洋河 梦之蓝 M9,285.00,354.70,Yanghe官方价-5
35,49510540152,Yanghe Micro 33.8% 洋河 微分子 33.8%,60.00,66.94,Yanghe官方价-5
38,48960538895,Rose Fenjiu 玫瑰汾酒,415.00,425.00,GST常规加价
39,48960538885,Fenjiu Panama 1915 汾酒 巴拿马1915,135.00,145.00,GST常规加价
40,48960538884,Fenjiu Revival Qinghua 30 汾酒 复兴版青花30,225.00,235.00,GST常规加价
42,48960538881,Yanghe Dream Blue M6+ 40.8% 洋河 梦之蓝 M6+ 40.8%,140.00,174.85,Yanghe官方价-5
43,48910536193,Guojiao 1573 国窖1573,199.00,200.00,自提柜封顶200
44,48610536174,Fenjiu Classic 汾酒 玻璃汾,62.00,67.00,GST常规加价
45,48210529845,Martell VSOP 马爹利 VSOP,99.00,104.00,GST常规加价
46,48210529843,Louis Roederer Cristal 2014 路易王妃 水晶香槟 2014,485.00,495.00,GST常规加价
47,48210529842,Macallan 12 Double Cask 麦卡伦12年 双桶,129.00,139.00,GST常规加价
49,48210529834,Macallan 18 Double Oak 麦卡伦18年 双桶,445.00,455.00,GST常规加价
50,47710536118,Zhuye Qing 10 Year 竹叶青 10年,130.00,140.00,GST常规加价
51,47460545257,Happy Brew Wheat Beer 嗨啤精酿 小麦,6.00,11.00,GST常规加价
52,46610533806,Hennessy XO 轩尼诗 XO,230.00,240.00,GST常规加价
53,46210529829,GAVO XO 700ML,199.00,200.00,自提柜封顶200
56,46210529817,Fenjiu Qinghua 20 汾酒 青花20度,145.00,155.00,GST常规加价
57,45760541150,Martell Cordon Bleu 马爹利 蓝带,199.00,200.00,自提柜封顶200
58,45760541148,Yamazaki 12 山崎12年,235.00,245.00,GST常规加价
59,45760541139,Dom Pérignon 2015 唐培里侬 2015,249.00,259.00,GST常规加价
61,44760541118,Fenjiu Qinghua 30 (48%) 汾酒 青花30 (48% Vol),170.00,180.00,GST常规加价
64,44710533857,Macallan 12 Sherry Oak 麦卡伦12年 雪莉桶,145.00,155.00,GST常规加价
65,44660541211,Yanghe Dream Blue Handcrafted 洋河 梦之蓝手工班,335.00,408.66,Yanghe官方价-5
66,44660541210,Hennessy VSOP 轩尼诗 VSOP,85.00,90.00,GST常规加价
67,43880886786,Blue Dash 730ML,68.00,73.00,GST常规加价
69,43430878784,Dom Pérignon 2013 唐培里侬 2013,285.00,295.00,GST常规加价
70,43430878783,Dassai 23 1.8L 獺祭 23 1.8L,230.00,240.00,GST常规加价
71,43430878782,Moutai (Feitian) 飞天茅台,299.00,309.00,GST常规加价
72,40480886771,Yanghe New Sky Blue 洋河 大曲新天蓝,40.00,38.16,Yanghe官方价-5
73,40380891781,Zhuye Qing Limited Edition 竹叶青 限量版,425.00,435.00,GST常规加价
74,40380891780,Yanghe Dream Blue Crystal 52% 洋河 梦之蓝水晶版 52%,125.00,150.87,Yanghe官方价-5
75,40380891779,Yanghe Sky Blue 52% 洋河 天之蓝 52%,85.00,108.91,Yanghe官方价-5
76,40380891778,Fenjiu Aged 30 Year 汾酒 陈酿30年,175.00,185.00,GST常规加价
77,27744822513,IT Extroso Appassimento Rosso IT 艾斯特罗索,60.00,65.00,GST常规加价
